id_ep_referencia,titulo_referencia,fragmento_id_ref,id_ep_similar,titulo_similar,fragmento_id_sim,similaridade
ep111,El Mito de Taiwán (y el cambio de perspectiva),1,ep111,El Mito de Taiwán (y el cambio de perspectiva),15,0.7654790980855563
ep111,El Mito de Taiwán (y el cambio de perspectiva),1,ep111,El Mito de Taiwán (y el cambio de perspectiva),14,0.7372444291101765
ep111,El Mito de Taiwán (y el cambio de perspectiva),1,ep109,El amor es una distracción (Y quizás está bien),18,0.736019690978161
ep111,El Mito de Taiwán (y el cambio de perspectiva),2,ep111,El Mito de Taiwán (y el cambio de perspectiva),8,0.7910499498585475
ep111,El Mito de Taiwán (y el cambio de perspectiva),2,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,45,0.7672010273521047
ep111,El Mito de Taiwán (y el cambio de perspectiva),2,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,0.7616968815957696
ep111,El Mito de Taiwán (y el cambio de perspectiva),3,ep109,El amor es una distracción (Y quizás está bien),5,0.7426010091562787
ep111,El Mito de Taiwán (y el cambio de perspectiva),3,ep111,El Mito de Taiwán (y el cambio de perspectiva),7,0.7352615480428838
ep111,El Mito de Taiwán (y el cambio de perspectiva),3,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,10,0.7352151408234335
ep111,El Mito de Taiwán (y el cambio de perspectiva),4,ep109,El amor es una distracción (Y quizás está bien),8,0.7822236174371004
ep111,El Mito de Taiwán (y el cambio de perspectiva),4,ep109,El amor es una distracción (Y quizás está bien),16,0.7651192372402624
ep111,El Mito de Taiwán (y el cambio de perspectiva),4,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,0.7561733506869973
ep111,El Mito de Taiwán (y el cambio de perspectiva),5,ep109,El amor es una distracción (Y quizás está bien),10,0.7692225933711687
ep111,El Mito de Taiwán (y el cambio de perspectiva),5,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.7540580045545088
ep111,El Mito de Taiwán (y el cambio de perspectiva),5,ep109,El amor es una distracción (Y quizás está bien),16,0.7526652602913317
ep111,El Mito de Taiwán (y el cambio de perspectiva),6,ep109,El amor es una distracción (Y quizás está bien),16,0.7309547971097452
ep111,El Mito de Taiwán (y el cambio de perspectiva),6,ep109,El amor es una distracción (Y quizás está bien),7,0.7303589278768002
ep111,El Mito de Taiwán (y el cambio de perspectiva),6,ep111,El Mito de Taiwán (y el cambio de perspectiva),1,0.7296522160751371
ep111,El Mito de Taiwán (y el cambio de perspectiva),7,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,26,0.771289557894901
ep111,El Mito de Taiwán (y el cambio de perspectiva),7,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,36,0.7542393490825685
ep111,El Mito de Taiwán (y el cambio de perspectiva),7,ep111,El Mito de Taiwán (y el cambio de perspectiva),8,0.7529468191893112
ep111,El Mito de Taiwán (y el cambio de perspectiva),8,ep109,El amor es una distracción (Y quizás está bien),8,0.8018863181503971
ep111,El Mito de Taiwán (y el cambio de perspectiva),8,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,58,0.7948305575674798
ep111,El Mito de Taiwán (y el cambio de perspectiva),8,ep111,El Mito de Taiwán (y el cambio de perspectiva),2,0.7910499498585475
ep111,El Mito de Taiwán (y el cambio de perspectiva),9,ep109,El amor es una distracción (Y quizás está bien),8,0.7882308459260936
ep111,El Mito de Taiwán (y el cambio de perspectiva),9,ep109,El amor es una distracción (Y quizás está bien),16,0.7604697892538378
ep111,El Mito de Taiwán (y el cambio de perspectiva),9,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,59,0.755515710663585
ep111,El Mito de Taiwán (y el cambio de perspectiva),10,ep109,El amor es una distracción (Y quizás está bien),18,0.8266871372499077
ep111,El Mito de Taiwán (y el cambio de perspectiva),10,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,40,0.808158073783682
ep111,El Mito de Taiwán (y el cambio de perspectiva),10,ep111,El Mito de Taiwán (y el cambio de perspectiva),11,0.8076163890334801
ep111,El Mito de Taiwán (y el cambio de perspectiva),11,ep111,El Mito de Taiwán (y el cambio de perspectiva),15,0.8253105237623326
ep111,El Mito de Taiwán (y el cambio de perspectiva),11,ep111,El Mito de Taiwán (y el cambio de perspectiva),10,0.8076163890334801
ep111,El Mito de Taiwán (y el cambio de perspectiva),11,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,35,0.7938913816364972
ep111,El Mito de Taiwán (y el cambio de perspectiva),12,ep109,El amor es una distracción (Y quizás está bien),16,0.7688951081271627
